image_path,question,video_path
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013150.jpg,Are there any vehicles in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267647.jpg,Is there any food in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269303.jpg,What is behind the garbage truck truck?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015183.jpg,What food is in the photo?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267504.jpg,What electronic equipment is in the picture?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269577.jpg,What color is the lettering on the banner?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267463.jpg,What is to the right of bus?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265451.jpg,Are there any trucks in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267611.jpg,Is there a bench in the photo?,static\tdiuc_videos\bench_man.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265513.jpg,What color is the parka?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012838.jpg,Is there a person in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263453.jpg,Is there a suitcase in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265274.jpg,Is there a person in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268750.jpg,Is the picture taken outdoors?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010015.jpg,What color is the tie the boy is sporting?,static\tdiuc_videos\boy_animal.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000925.jpg,Are there any ties in the photo?,static\tdiuc_videos\man_white_shirt_tie.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012795.jpg,What color are the man's socks?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269171.jpg,Are there any dining tables in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267780.jpg,What is the heart shaped pizza trimmed with?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270325.jpg,Is there a car in the photo?,static\tdiuc_videos\street_car_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269996.jpg,Is there a dog in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013717.jpg,Is there a person in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013595.jpg,Is there a sandwich in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264016.jpg,Is the picture taken indoor?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000092.jpg,What animal is the person touching?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268276.jpg,What animal is shown in the photo?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014180.jpg,What sport is depicted in the picture ?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262442.jpg,Is there a car in the photo?,static\tdiuc_videos\street_car_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014477.jpg,What material is the toilet seat made out of?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266030.jpg,Are there any vehicles in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012698.jpg,Are there any spoons in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268848.jpg,Which color is the toilet seat?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263727.jpg,What color sari is the closest woman wearing?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013146.jpg,Is there any food in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013043.jpg,What vehicle is shown in the photo?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010743.jpg,What color eyes does the cat have?,static\tdiuc_videos\cat_activity.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268111.jpg,Is there a cow in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013284.jpg,Is the picture taken indoor?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015388.jpg,Which color is dominant?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015311.jpg,Is this outdoors?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269986.jpg,Are there any ties in the picture?,static\tdiuc_videos\man_white_shirt_tie.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266520.jpg,What season is this dog likely being made to appear as if its celebrating?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263589.jpg,What color is the road?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264460.jpg,Is there an animal in the photo?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015645.jpg,What color is the woman's arm band?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012728.jpg,What color is the bird ?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012839.jpg,Is there a dining table in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265036.jpg,Is this indoor or outdoor?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263098.jpg,Is there a bicycle in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268897.jpg,Is there a giraffe in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266031.jpg,Are there any animals in the photo?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263362.jpg,Is there a pizza in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267372.jpg,What is the chair seat made of?,static\tdiuc_videos\chair_material.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266805.jpg,Are there any people in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267516.jpg,What color is the car closest to the motorcycle?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265799.jpg,What color is the bike?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266885.jpg,How many cups are there?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262932.jpg,How many planes are there?,static\tdiuc_videos\multiple_planes.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000009845.jpg,What is behind the garbage truck truck?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267022.jpg,Is there a vehicle in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015485.jpg,Are there any refrigerators in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000510.jpg,What color is the boat on the left in front?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015851.jpg,What vehicle is in the picture?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264676.jpg,What color is the car behind the red truck?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015645.jpg,Is there a person in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010130.jpg,What shape is the cake in?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269245.jpg,What color is the man in jeans' hat?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269477.jpg,Are there any vehicles in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015262.jpg,Is there a cake in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000001308.jpg,What color is the sink and the bathtub?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015496.jpg,Is there a person in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268546.jpg,Is this indoor or outdoor?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263703.jpg,What color is the mouse lighting up?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013986.jpg,Are there any sheep in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264885.jpg,Are there any vehicles in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015107.jpg,Are there any bowls in the photo?,static\tdiuc_videos\bowl_food.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267815.jpg,Are there any beds in the picture?,static\tdiuc_videos\bed_posts.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267715.jpg,What sport are the people playing?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270248.jpg,What color bow tie is the bear wearing?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000009999.jpg,How many people are there?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266240.jpg,What color of gloves do they have on?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013770.jpg,What is the number on the light post to the right of the train on the platform?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000491.jpg,What color is the tie?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262893.jpg,Is there a snowboard in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012790.jpg,What color is the meat?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010407.jpg,How many carrots can be seen?,static\tdiuc_videos\street_car_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013636.jpg,What color is the cow that is standing?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000853.jpg,Is there a toilet in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264699.jpg,What color are the snacks in the jar?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000086.jpg,What color is the horse in the back?,static\tdiuc_videos\horse_riding.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010545.jpg,Are there any vehicles in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000260.jpg,What color is the boat in the foreground?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265833.jpg,Are there any baseball bats in the picture?,static\tdiuc_videos\baseball_position.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268481.jpg,Is there a horse in the photo?,static\tdiuc_videos\horse_riding.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267848.jpg,Is there a sports ball in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264526.jpg,Is there a sports ball in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265076.jpg,Is there a sink in the photo?,static\tdiuc_videos\sink_scene.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014283.jpg,Is there a refrigerator in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266418.jpg,What color is the toilet on the left?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265432.jpg,Is there a microwave in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000312.jpg,Are there any elephants in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265344.jpg,Is there a clock in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262954.jpg,How many laptops are visible?,static\tdiuc_videos\cat_visible.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010229.jpg,Is there a bicycle in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269392.jpg,What color is the boys diaper?,static\tdiuc_videos\boy_animal.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013714.jpg,Are there any trains in the photo?,static\tdiuc_videos\train_front colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270295.jpg,What vehicle is in front of the people with commodes?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269483.jpg,Is there a sports ball in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264169.jpg,Is there an animal in the picture?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270035.jpg,Are there any trucks in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015297.jpg,What animal is in the photo?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000965.jpg,Are there any sports balls in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015195.jpg,How many pizzas are there?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000001237.jpg,Are there any hair driers in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010358.jpg,Are there any people in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262967.jpg,Is there a tie in the picture?,static\tdiuc_videos\man_white_shirt_tie.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000996.jpg,How many giraffes are there?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000110.jpg,How many people are visible?,static\tdiuc_videos\cat_visible.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013202.jpg,What is just in front of the woman?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264304.jpg,How many legs are seen?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013916.jpg,Are there any animals in the photo?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264699.jpg,Is there a wine glass in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013949.jpg,What shape are the remote control buttons?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267049.jpg,How many people can you see?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268644.jpg,What color is the train closest to the camera?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012696.jpg,How many cows are visible?,static\tdiuc_videos\cat_visible.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014128.jpg,Is there a airplane in the picture?,static\tdiuc_videos\multiple_planes.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262299.jpg,What is behind the laptop on the left?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262538.jpg,What material is walkway made of?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013603.jpg,Is the picture taken indoor?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270284.jpg,Is this indoor or outdoor?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264499.jpg,Are there any animals in the picture?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010175.jpg,Is there a sink in the photo?,static\tdiuc_videos\sink_scene.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000009851.jpg,What color hair does the woman on the right have?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264005.jpg,Is there an animal in the picture?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269355.jpg,"What colors are on the ""pizza slices"" sign?",static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014849.jpg,What is in front of the glass cake stand?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269422.jpg,What color is the couch in the background?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267708.jpg,Are there any traffic lights in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000265566.jpg,What type of animal is painted on the side of the vase on the left?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012524.jpg,What color bowl are the blueberries in?,static\tdiuc_videos\bowl_food.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000270202.jpg,What color is the lady's sweater?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000269946.jpg,Is there any food in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000014238.jpg,Are there any handbags in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264618.jpg,Are there any refrigerators in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000529.jpg,Is there an animal in the photo?,static\tdiuc_videos\animal_type.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268481.jpg,What is the horse doing?,static\tdiuc_videos\horse_riding.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266504.jpg,Are there any dining tables in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263446.jpg,What is to the right of bowl?,static\tdiuc_videos\bowl_food.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000010108.jpg,What color is the signs' words?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000263462.jpg,Is there any furniture in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268317.jpg,Is there a chair in the photo?,static\tdiuc_videos\chair_material.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000264244.jpg,Is there any furniture in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000262299.jpg,Are there any people in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015356.jpg,Are there any buses in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267870.jpg,Is there a keyboard in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000268682.jpg,What color is the truck on the left of the picture?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000001216.jpg,Are there any ties in the photo?,static\tdiuc_videos\man_white_shirt_tie.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000266550.jpg,Are there any pizzas in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013731.jpg,Are there any apples in the picture?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000015197.jpg,What color are the ski poles the person on the right is holding?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000012704.jpg,What has the dog been playing with?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000000839.jpg,How many people are there?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267216.jpg,What is the bench leg made of?,static\tdiuc_videos\bench_man.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000267555.jpg,What is to the left of person?,static\tdiuc_videos\man_hat_colour.mp4
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000001036.jpg,How many dining tables are in the photo?,
/content/drive/MyDrive/AI_Project/data/COCO/images/train2014/COCO_train2014_000000013144.jpg,Are there any chairs in the photo?,static\tdiuc_videos\chair_material.mp4
